state,baseline_pred,pbm_triple,sdoh_integrated,integrated_pbm_sdoh,savings_pbm_triple,savings_sdoh_integrated,savings_integrated_pbm_sdoh
Maryland,12.462846046137265,12.052726461393107,12.746745918885498,12.305335515680536,3.290737791559828,-2.277969828859634,1.2638407782109151
Massachusetts,7.641018230502551,7.433271751092891,7.357395897368413,7.157967847668359,2.718832400901054,3.711839503299869,6.3218064433596055
Michigan,29.75527949422218,28.789886756897157,29.022472901050484,27.979453036842365,3.2444418393464596,2.462778389676998,5.968105450747458
Minnesota,15.149505395056357,14.471987430142713,14.781489736449435,14.169382876387754,4.4722117801597285,2.4292255688229525,6.469666785216896
Mississippi,48.444684891248286,45.89431782607884,47.215716975315914,44.88642297278701,5.264493041692134,2.536847785657473,7.344999614403705
Missouri,44.51875086367469,41.35929212364556,41.01889877056769,38.448912380077935,7.0969168692626265,7.861523571998344,13.634341408598397
Montana,37.67250051072645,35.91134856089423,37.44874302849324,35.673771685990715,4.6749005931548595,0.5939544208633044,5.305537985636604
Nebraska,49.1069282619688,45.86103710288411,44.758413981610666,42.00078922995202,6.609843608561622,8.855195049383425,14.470746356008949
Nevada,27.90811739421547,26.535188621919225,26.377704393111447,25.130200875723954,4.919460359518239,5.483755781467482,9.95379401359153
New Hampshire,10.716132738738933,10.549039123431633,10.49769361943152,10.244361016666636,1.5592716083410814,2.038413713538225,4.402443806680722
New Jersey,7.603557250279404,7.380554656402091,7.523493067277098,7.281950015090562,2.932871898467237,1.052983233595878,4.22969439964464
New Mexico,29.373225766053185,27.982395393999816,30.14576163294179,28.77997663260555,4.735027685181108,-2.630068188770166,2.0196935065036574
New York,11.371401879628039,10.778179479231111,10.753607006638648,10.22867866064591,5.216792148201973,5.432882238523076,10.049097121695496
North Carolina,37.281862697055516,35.316794576951885,33.39672034903069,31.819730664602066,5.270842114492391,10.420998488178203,14.650909684522937
North Dakota,21.148242935525463,20.148667811203364,20.58383903604227,19.59075063930127,4.7265161808926575,2.668798070855756,7.364641596810251
Ohio,18.834807701603616,17.89315609693345,18.15181933361602,17.259787811873213,4.999528636493557,3.626203032215953,8.36228282594201
Oklahoma,36.949048397626754,35.184781242613376,37.054846455631505,35.298515879556625,4.7748649329943165,-0.2863350007453689,4.46705013971657
Oregon,19.018237491897406,18.351607469785666,18.851010731408245,18.197974901440958,3.5052145205135483,0.8792968357893665,4.3130315877373775
Pennsylvania,20.213965526998226,19.24784662463402,19.018290041907797,18.142121386623426,4.779462501179385,5.915096092814933,10.249567991038665
Rhode Island,6.500932086215902,6.065931294056284,6.1004975411018805,5.770720164388817,6.691360352494086,6.159648182805558,11.2324188615256
South Carolina,33.51965385050159,32.00292182789983,31.864930492703532,30.425187584515623,4.524903596458415,4.936576508749648,9.23179660442604
South Dakota,28.20322479269444,26.948314622049946,27.71953066951908,26.472126682998,4.449527243315651,1.7150312658595352,6.13794387847751
Tennessee,64.79506783532271,60.9129860499155,61.39690349236912,57.982675563595066,5.991322974263345,5.244479952687231,10.513751276627113
Texas,33.449889057707054,31.818900590566248,32.70238400486715,31.222539656158,4.875915924047039,2.23470114220805,6.658764690389492
Utah,87.40348866447745,85.41529715857452,87.19835699440796,85.18637075689124,2.2747278584441375,0.23469505989279904,2.5366469250412154
Vermont,13.652315278079076,13.067632293618274,13.36417980415343,12.721898155342343,4.282665412800725,2.110524611076719,6.8150866998410375
Virginia,34.66760261381318,32.82690603930151,31.475097806926755,29.876668096068904,5.309558307265958,9.208899855147132,13.819630307621402
Washington,18.107276174136295,17.319264619479476,17.72890503127645,16.93834356139447,4.3519055382961636,2.0896082835489884,6.455596090214183
West Virginia,33.19653052662369,31.941881831762945,33.81682801154025,32.5079692754612,3.779457295558382,-1.8685611871972068,2.0741964302873828
